block_id,centroid_lon,centroid_lat,area_km2,tree_fraction,grass_fraction,crop_fraction,built_fraction,water_fraction,vegetation_fraction,eligible_tree_components,eligible_grass_components,urbanization_stratum
C18_16,121.86915655723232,31.54102737386674,25.0,0.16166501322751323,0.09246858465608465,0.572255291005291,0.09341931216931217,0.07002314814814815,0.2541335978835979,24,50,low
C22_07,121.39609062619657,31.720689608864944,25.0,0.3245287698412698,0.03042328042328042,0.5394758597883598,0.09242724867724868,0.008845899470899471,0.35495205026455023,52,16,low
C03_07,121.39609062619657,30.867293992623473,25.0,0.07217261904761904,0.15219907407407407,0.6502976190476191,0.10867228835978836,0.009300595238095238,0.2243716931216931,35,71,low
C23_06,121.34352774497037,31.765605167614495,25.0,0.28935185185185186,0.01773313492063492,0.5971395502645502,0.09069113756613757,0.00425760582010582,0.3070849867724868,31,8,low
C22_05,121.29096486374418,31.720689608864944,25.0,0.3237020502645503,0.026909722222222224,0.46585648148148145,0.11069775132275132,0.07080853174603174,0.3506117724867725,39,8,low
C03_10,121.55377926987515,30.867293992623473,25.0,0.11334325396825397,0.1189236111111111,0.3957919973544973,0.3480076058201058,0.010499338624338625,0.23226686507936506,53,53,medium
C06_14,121.76403079477993,31.002040668872127,25.0,0.06886574074074074,0.10085978835978836,0.43778935185185186,0.35474537037037035,0.032159391534391533,0.1697255291005291,46,74,medium
C11_03,121.18583910129179,31.226618462619882,25.0,0.12140376984126984,0.14050099206349206,0.38268849206349204,0.3385830026455027,0.002438822751322751,0.2619047619047619,61,60,medium
C09_04,121.23840198251798,31.13678734512078,25.0,0.2509507275132275,0.06436011904761904,0.2553323412698413,0.36235119047619047,0.039393187830687834,0.3153108465608465,70,40,medium
C07_09,121.50121638864896,31.046956227621678,25.0,0.2640955687830688,0.06436011904761904,0.183573082010582,0.3653687169312169,0.09809027777777778,0.3284556878306878,49,38,medium
C09_07,121.39609062619657,31.13678734512078,25.0,0.20506779100529102,0.025049603174603176,0.041666666666666664,0.6958498677248677,0.016162367724867725,0.23011739417989419,82,16,high
C12_06,121.34352774497037,31.271534021369433,25.0,0.21614583333333334,0.019303902116402115,0.06634424603174603,0.6674520502645502,0.008597883597883597,0.23544973544973546,68,11,high
C10_05,121.29096486374418,31.18170290387033,25.0,0.1859292328042328,0.038938492063492064,0.0582010582010582,0.6640625,0.008928571428571428,0.22486772486772486,70,29,high
C07_07,121.39609062619657,31.046956227621678,25.0,0.15426587301587302,0.04749503968253968,0.08825231481481481,0.6553406084656085,0.020833333333333332,0.2017609126984127,62,28,high
C09_10,121.55377926987515,31.13678734512078,25.0,0.17642195767195767,0.04704034391534392,0.0708912037037037,0.654431216931217,0.007027116402116402,0.2234623015873016,49,23,high
